0,167.0,178.0
1,162.0,31.0
0,142.0,96.0
0,132.0,169.0
1,169.0,74.0
0,36.0,173.0
0,113.0,125.0
0,109.0,22.0
0,96.0,101.0
0,31.0,50.0
0,46.0,174.0
0,67.0,50.0
1,79.0,79.0
1,128.0,148.0
0,33.0,64.0
0,24.0,60.0
1,108.0,75.0
1,182.0,39.0
0,89.0,134.0
0,65.0,140.0
0,184.0,149.0
0,137.0,170.0
0,82.0,101.0
0,72.0,144.0
0,113.0,93.0
0,140.0,95.0
0,29.0,66.0
1,182.0,117.0
1,155.0,32.0
0,98.0,99.0
0,86.0,52.0
0,91.0,27.0
1,182.0,108.0
0,96.0,133.0
0,168.0,175.0
0,166.0,170.0
0,47.0,121.0
0,131.0,116.0
0,176.0,173.0
1,170.0,41.0
1,117.0,150.0
0,40.0,161.0
1,182.0,73.0
1,169.0,47.0
0,116.0,128.0
0,17.0,122.0
0,62.0,93.0
1,170.0,23.0
1,126.0,144.0
1,147.0,43.0
1,156.0,144.0
0,41.0,109.0
0,119.0,32.0
0,28.0,62.0
1,107.0,70.0
0,135.0,103.0
0,12.0,142.0
0,126.0,120.0
0,109.0,41.0
0,65.0,152.0
0,105.0,39.0
1,72.0,76.0
0,48.0,158.0
0,25.0,132.0
0,112.0,30.0
0,69.0,151.0
0,9.0,117.0
1,168.0,131.0
0,40.0,88.0
1,182.0,105.0
1,137.0,153.0
0,72.0,53.0
0,134.0,88.0
1,132.0,46.0
1,180.0,86.0
0,80.0,35.0
0,63.0,151.0
0,175.0,158.0
1,181.0,38.0
0,41.0,111.0
1,154.0,22.0
0,49.0,163.0
1,144.0,41.0
0,103.0,35.0
0,98.0,44.0
0,101.0,95.0
1,168.0,119.0
0,134.0,169.0
1,169.0,35.0
1,134.0,144.0
0,20.0,139.0
1,179.0,52.0
0,82.0,39.0
0,65.0,114.0
0,51.0,170.0
0,69.0,47.0
0,137.0,85.0
0,113.0,102.0
1,128.0,159.0
1,149.0,152.0
0,121.0,31.0
0,78.0,134.0
